Name,Address,Categories,Open Environment,Website,Menu
Carpet Cafe | کافه فرش (حسینی),"بازار سرپوشیده تبریز (بازار صادقیه (راسته بازار)), تبریز, آذربایجان شرقی",Café,No,N/A,N/A
Chapari Café & Restaurant,"تبریز، راسته بازار، سرای حاج سید حسین میانی, تبریز, آذربایجان شرقی",Café,No,N/A,N/A
Kilim Cafe,"شريعتي شمالي،كوچه دكتر نوايي (Shahnaz), تبریز, آذربایجان شرقی",Café,No,N/A,N/A
Daash Café داش کافه,"چهارراه شهناز، داش مغازه‌لر، ساختمان محقق ارومی، طبقه‌ی اول, تبریز, آذربایجان شرقی",Café,No,N/A,N/A
Mevlana Cafe | قهوه مولانا,"Darayi Street, تبریز, آذربایجان شرقی",Café,No,N/A,N/A
Cafe Platforme Kargadan,"چهارراه شهناز به سمت سه راهی امین - جنب پاساژ میرداماد - ساختمان ۸۰ - طبقه آخر, تبریز, آذربایجان شرقی",Café,No,N/A,N/A
Iz Cafe | کافه ایز,"شهناز، والمان، پشت مصلی (والمان), تبریز, آذربایجان شرقی",Café,No,N/A,N/A
bakh café | کافه باخ,"Ark Alley , Shariati St (Emam Khomeini St), تبریز, آذربایجان شرقی",Café,No,N/A,N/A
Urban Cafe | کافه اوربان,"تبریز, آذربایجان شرقی",Café,No,N/A,N/A
Kamali's Café Resturant | كافه رستوران كمالى,"Ark (Shahnaz), تبریز, آذربایجان شرقی",Café,No,N/A,N/A
Bahman cafe,"تبریز, آذربایجان شرقی",Café,No,N/A,N/A
Pam Fillia Café (کافه پام فیلیا),"آخر شهناز, تبریز, آذربایجان شرقی",Café,No,N/A,N/A
Violin cafe | كافه ويولون,"مقصوديه، جنب دانشكده معماري, تبریز, آذربایجان شرقی",Café,No,N/A,N/A
Bakhtiar Café (کافه بختیار),"Imam St., تبریز, آذربایجان شرقی",Café,No,N/A,N/A
Shamee suzan cafè | كافه شمع سوزان,"خيابان ارتش, تبریز, آذربایجان شرقی",Café,No,N/A,N/A
کافه کالوج | Calooj Café,"RezaNejad St, Tabriz, آذربایجان غربی",Café,No,N/A,N/A
cafe kavich 5 | كافه كاويچ ٥,"خيابان امام، ايستگاه تپلي باغ, تبریز, آذربایجان شرقی",Café,No,N/A,N/A
Cafe Homa,"second floor in front of salehi sandwich dash magazalar ave (shahnaz), تبریز, آذربایجان شرقی",Café,No,N/A,N/A
Cafe Fountain | کافه فانتین,"تبریز, آذربایجان شرقی",Café,No,N/A,N/A
كافه ژف|Zhaf Cafe,"Tabriz, Batı Azerbaycan",Coffee Shop,No,N/A,N/A
Israfil Tea House (قهوه‌خانه اسرافیل),"تبریز, آذربایجان شرقی",Café,No,N/A,N/A
Wooden Café,"Shahnaz, تبریز, آذربایجان شرقی",Coffee Shop,No,N/A,N/A
کافه گرین | Green Cafe,"تبریز, آذربایجان شرقی",Coffee Shop,No,N/A,N/A
Jazveh Coffee (قهوه جازوه),"Baron Avak St., تبریز, آذربایجان شرقی",Café,No,N/A,N/A
Owl Café | کافه جغد,"تبریز, آذربایجان شرقی",Coffee Shop,No,N/A,N/A
کافه کتاب هنگام,"تبریز, آذربایجان شرقی","Café, Bookstore",No,N/A,N/A
قهوه کرال | Kral Coffee,,Café,No,N/A,N/A
Mehdi Hila Cafe | کافه مهدی هیلا,"Manzariyeh Sq, آذربایجان شرقی",Café,No,N/A,N/A
كافه خورشيد,"Shahnaz (Pasazh), تبریز, آذربایجان شرقی",Café,No,N/A,N/A
Kolbe Choobi Cafe|کلبه چوبی,"مقصودیه-میدان مقصودیه, تبریز, آذربایجان شرقی",Coffee Shop,No,N/A,N/A
کافه پلاک هفت + ۷,"تبریز ـ شهناز ـ خیابان والمان ـ روبه روی کلیسا (تبریز ـ شهناز ـ خیابان والمان ـ روبه روی کلیسا), تبریز, آذربایجان شرقی",Café,No,N/A,N/A
Coffeeia Coffee | قـــهوه کــافـــیا,"چایکنار ، بعد از پل گلکار ، نبش کوچه بیمارستان شهریار, تبریز, آذربایجان شرقی",Café,No,N/A,N/A
کافه زنگ تفریح,"چهار راه هفده شهریور . به طرف سه راه صایب . روبروی لک لر, تبریز, آذربایجان شرقی",Café,No,N/A,N/A
Exir Café,"تبریز, آذربایجان شرقی",Café,No,N/A,N/A
TOGO,"ولیعصر توانیر شمالی پایینتر از مجتمع گلپارک ورودی مجتمع گلها توگو اينجــاس!, تبریز, آذربایجان شرقی",Café,No,N/A,N/A
Tashrifat Café | كافه تشريفات,"Abresan, تبریز, آذربایجان شرقی",Café,No,N/A,N/A
قهوه اکسیر,"Manzariye, آذربایجان شرقی",Café,No,N/A,N/A
Hesam coffee & juice قهوه و آبميوه حسام,"emam hossein sq , laleh st (azadi st), تبریز, آذربایجان شرقی",Café,No,N/A,N/A
"Khaneh Ebtehaj, خانه ابتهاج","before farvardin alley, Immam khomeini st., Tabriz, Iran (Imam), Tabriz, Abresan","Cafe, Coffee, and Tea House",No,N/A,N/A
Cafe Teatea/کافه تی تی,,Café,No,N/A,N/A
Chichak Café | کافه هوایی چیچک,"Manzariyeh, تبریز, آذربایجان شرقی",Café,No,N/A,N/A
کافه رستوران بولوار | BULVAR CAFE & RESTAURANT,"بلوار ۲۹ بهمن جنب برج شهر, تبریز, آذربایجان شرقی","Restaurant, Café",No,N/A,N/A
Delestan Coffee Shop | کافی شاپ دلستان,"2nd Fl., Boloor Tower (Daneshgah Sq.), تبریز, آذربایجان شرقی",Coffee Shop,No,N/A,N/A
Rasta Coffee | قهوه رستا,"Darayi Street, تبریز, آذربایجان شرقی",Café,No,N/A,N/A
emarat seyed restaurant | رستوران عمارت سید,"تبریز, آذربایجان شرقی","Cafe, Coffee, and Tea House, Diner",No,N/A,N/A
Cafè Bidel کافه بیدل,"shahnaz st., تبریز, آذربایجان شرقی",Café,No,N/A,N/A
کافه تیتانیوم/ Titanium Cafe,"maghsoudiye (arke jadid), تبریز, آذربایجان شرقی",Café,No,N/A,N/A
Vira Coffee,"تبریز, آذربایجان شرقی",Café,No,N/A,N/A
Esteqbal Plus Cafe | کافه استقبال پلاس,"تبریز, آذربایجان شرقی","Cafe, Coffee, and Tea House, Breakfast Spot, Café",No,N/A,N/A
Caffe Darvish/قليان سراى درويش,"Emam Street, تبریز, آذربایجان شرقی",Café,No,N/A,N/A
Carpet Cafe | کافه فرش (حسینی),"بازار سرپوشیده تبریز (بازار صادقیه (راسته بازار)), تبریز, آذربایجان شرقی",Café,No,N/A,N/A
Chapari Café & Restaurant,"تبریز، راسته بازار، سرای حاج سید حسین میانی, تبریز, آذربایجان شرقی",Café,No,N/A,N/A
Kilim Cafe,"شريعتي شمالي،كوچه دكتر نوايي (Shahnaz), تبریز, آذربایجان شرقی",Café,No,N/A,N/A
Daash Café داش کافه,"چهارراه شهناز، داش مغازه‌لر، ساختمان محقق ارومی، طبقه‌ی اول, تبریز, آذربایجان شرقی",Café,No,N/A,N/A
Mevlana Cafe | قهوه مولانا,"Darayi Street, تبریز, آذربایجان شرقی",Café,No,N/A,N/A
Cafe Platforme Kargadan,"چهارراه شهناز به سمت سه راهی امین - جنب پاساژ میرداماد - ساختمان ۸۰ - طبقه آخر, تبریز, آذربایجان شرقی",Café,No,N/A,N/A
Iz Cafe | کافه ایز,"شهناز، والمان، پشت مصلی (والمان), تبریز, آذربایجان شرقی",Café,No,N/A,N/A
bakh café | کافه باخ,"Ark Alley , Shariati St (Emam Khomeini St), تبریز, آذربایجان شرقی",Café,No,N/A,N/A
Urban Cafe | کافه اوربان,"تبریز, آذربایجان شرقی",Café,No,N/A,N/A
Kamali's Café Resturant | كافه رستوران كمالى,"Ark (Shahnaz), تبریز, آذربایجان شرقی",Café,No,N/A,N/A
Bahman cafe,"تبریز, آذربایجان شرقی",Café,No,N/A,N/A
Pam Fillia Café (کافه پام فیلیا),"آخر شهناز, تبریز, آذربایجان شرقی",Café,No,N/A,N/A
Violin cafe | كافه ويولون,"مقصوديه، جنب دانشكده معماري, تبریز, آذربایجان شرقی",Café,No,N/A,N/A
Bakhtiar Café (کافه بختیار),"Imam St., تبریز, آذربایجان شرقی",Café,No,N/A,N/A
Shamee suzan cafè | كافه شمع سوزان,"خيابان ارتش, تبریز, آذربایجان شرقی",Café,No,N/A,N/A
کافه کالوج | Calooj Café,"RezaNejad St, Tabriz, آذربایجان غربی",Café,No,N/A,N/A
cafe kavich 5 | كافه كاويچ ٥,"خيابان امام، ايستگاه تپلي باغ, تبریز, آذربایجان شرقی",Café,No,N/A,N/A
Cafe Homa,"second floor in front of salehi sandwich dash magazalar ave (shahnaz), تبریز, آذربایجان شرقی",Café,No,N/A,N/A
Cafe Fountain | کافه فانتین,"تبریز, آذربایجان شرقی",Café,No,N/A,N/A
كافه ژف|Zhaf Cafe,"Tabriz, Batı Azerbaycan",Coffee Shop,No,N/A,N/A
Israfil Tea House (قهوه‌خانه اسرافیل),"تبریز, آذربایجان شرقی",Café,No,N/A,N/A
Wooden Café,"Shahnaz, تبریز, آذربایجان شرقی",Coffee Shop,No,N/A,N/A
کافه گرین | Green Cafe,"تبریز, آذربایجان شرقی",Coffee Shop,No,N/A,N/A
Jazveh Coffee (قهوه جازوه),"Baron Avak St., تبریز, آذربایجان شرقی",Café,No,N/A,N/A
Owl Café | کافه جغد,"تبریز, آذربایجان شرقی",Coffee Shop,No,N/A,N/A
کافه کتاب هنگام,"تبریز, آذربایجان شرقی","Café, Bookstore",No,N/A,N/A
قهوه کرال | Kral Coffee,,Café,No,N/A,N/A
Mehdi Hila Cafe | کافه مهدی هیلا,"Manzariyeh Sq, آذربایجان شرقی",Café,No,N/A,N/A
كافه خورشيد,"Shahnaz (Pasazh), تبریز, آذربایجان شرقی",Café,No,N/A,N/A
Kolbe Choobi Cafe|کلبه چوبی,"مقصودیه-میدان مقصودیه, تبریز, آذربایجان شرقی",Coffee Shop,No,N/A,N/A
کافه پلاک هفت + ۷,"تبریز ـ شهناز ـ خیابان والمان ـ روبه روی کلیسا (تبریز ـ شهناز ـ خیابان والمان ـ روبه روی کلیسا), تبریز, آذربایجان شرقی",Café,No,N/A,N/A
Coffeeia Coffee | قـــهوه کــافـــیا,"چایکنار ، بعد از پل گلکار ، نبش کوچه بیمارستان شهریار, تبریز, آذربایجان شرقی",Café,No,N/A,N/A
کافه زنگ تفریح,"چهار راه هفده شهریور . به طرف سه راه صایب . روبروی لک لر, تبریز, آذربایجان شرقی",Café,No,N/A,N/A
Exir Café,"تبریز, آذربایجان شرقی",Café,No,N/A,N/A
TOGO,"ولیعصر توانیر شمالی پایینتر از مجتمع گلپارک ورودی مجتمع گلها توگو اينجــاس!, تبریز, آذربایجان شرقی",Café,No,N/A,N/A
Tashrifat Café | كافه تشريفات,"Abresan, تبریز, آذربایجان شرقی",Café,No,N/A,N/A
قهوه اکسیر,"Manzariye, آذربایجان شرقی",Café,No,N/A,N/A
Hesam coffee & juice قهوه و آبميوه حسام,"emam hossein sq , laleh st (azadi st), تبریز, آذربایجان شرقی",Café,No,N/A,N/A
"Khaneh Ebtehaj, خانه ابتهاج","before farvardin alley, Immam khomeini st., Tabriz, Iran (Imam), Tabriz, Abresan","Cafe, Coffee, and Tea House",No,N/A,N/A
Cafe Teatea/کافه تی تی,,Café,No,N/A,N/A
Chichak Café | کافه هوایی چیچک,"Manzariyeh, تبریز, آذربایجان شرقی",Café,No,N/A,N/A
کافه رستوران بولوار | BULVAR CAFE & RESTAURANT,"بلوار ۲۹ بهمن جنب برج شهر, تبریز, آذربایجان شرقی","Restaurant, Café",No,N/A,N/A
Delestan Coffee Shop | کافی شاپ دلستان,"2nd Fl., Boloor Tower (Daneshgah Sq.), تبریز, آذربایجان شرقی",Coffee Shop,No,N/A,N/A
Rasta Coffee | قهوه رستا,"Darayi Street, تبریز, آذربایجان شرقی",Café,No,N/A,N/A
emarat seyed restaurant | رستوران عمارت سید,"تبریز, آذربایجان شرقی","Cafe, Coffee, and Tea House, Diner",No,N/A,N/A
Cafè Bidel کافه بیدل,"shahnaz st., تبریز, آذربایجان شرقی",Café,No,N/A,N/A
کافه تیتانیوم/ Titanium Cafe,"maghsoudiye (arke jadid), تبریز, آذربایجان شرقی",Café,No,N/A,N/A
Vira Coffee,"تبریز, آذربایجان شرقی",Café,No,N/A,N/A
Esteqbal Plus Cafe | کافه استقبال پلاس,"تبریز, آذربایجان شرقی","Cafe, Coffee, and Tea House, Breakfast Spot, Café",No,N/A,N/A
Caffe Darvish/قليان سراى درويش,"Emam Street, تبریز, آذربایجان شرقی",Café,No,N/A,N/A
